INDEP	SHIFT	DEP	STOR
16N	16N	16N	1S
6.57	0.00	805	 
6.58	0.00	813	 
6.59	0.00	820	 
6.60	0.00	828	*
6.61	0.00	835	 
6.62	0.00	842	 
6.63	0.00	850	 
6.64	0.00	857	 
6.65	0.00	864	 
6.66	0.00	872	 
6.67	0.00	879	 
6.68	0.00	887	 
6.69	0.00	894	 
6.70	0.00	902	*
6.71	0.00	909	 
6.72	0.00	917	 
6.73	0.00	924	 
6.74	0.00	931	 
6.75	0.00	939	 
6.76	0.00	946	 
6.77	0.00	953	 
6.78	0.00	961	 
6.79	0.00	968	 
6.80	0.00	976	*
6.81	0.00	983	 
6.82	0.00	991	 
6.83	0.00	998	 
6.84	0.00	1010	 
6.85	0.00	1010	 
6.86	0.00	1020	 
6.87	0.00	1030	 
6.88	0.00	1030	 
6.89	0.00	1040	 
6.90	0.00	1050	*
6.91	0.00	1060	 
6.92	0.00	1060	 
6.93	0.00	1070	 
6.94	0.00	1080	 
6.95	0.00	1090	 
6.96	0.00	1090	 
6.97	0.00	1100	 
6.98	0.00	1110	 
6.99	0.00	1120	 
7.00	0.00	1120	 
7.01	0.00	1130	 
7.02	0.00	1140	 
7.03	0.00	1150	 
7.04	0.00	1150	 
7.05	0.00	1160	 
7.06	0.00	1170	 
7.07	0.00	1180	 
7.08	0.00	1180	 
7.09	0.00	1190	 
7.10	0.00	1200	*
7.11	0.00	1210	 
7.12	0.00	1220	 
7.13	0.00	1220	 
7.14	0.00	1230	 
7.15	0.00	1240	 
7.16	0.00	1250	 
7.17	0.00	1260	 
7.18	0.00	1260	 
7.19	0.00	1270	 
7.20	0.00	1280	 
7.21	0.00	1290	 
7.22	0.00	1300	 
7.23	0.00	1300	 
7.24	0.00	1310	 
7.25	0.00	1320	 
7.26	0.00	1330	 
7.27	0.00	1340	 
7.28	0.00	1340	 
7.29	0.00	1350	 
7.30	0.00	1360	 
7.31	0.00	1370	 
7.32	0.00	1380	 
7.33	0.00	1390	 
7.34	0.00	1400	 
7.35	0.00	1400	 
7.36	0.00	1410	 
7.37	0.00	1420	 
7.38	0.00	1430	 
7.39	0.00	1440	 
7.40	0.00	1450	 
7.41	0.00	1460	 
7.42	0.00	1460	 
7.43	0.00	1470	 
7.44	0.00	1480	 
7.45	0.00	1490	 
7.46	0.00	1500	 
7.47	0.00	1510	 
7.48	0.00	1520	 
7.49	0.00	1530	 
7.50	0.00	1540	 
7.51	0.00	1540	 
7.52	0.00	1550	 
7.53	0.00	1560	 
7.54	0.00	1570	 
7.55	0.00	1580	 
7.56	0.00	1590	 
7.57	0.00	1600	 
7.58	0.00	1610	 
7.59	0.00	1620	 
